"LfdNr";"KSKT";"KST_BEZ";"KST";"FB_Bezeichnung";
"92";"579";"St. Hubertus Visbek Wald-Kiga";"579 St. Hubertus Visbek Wald-Kiga";"110 GB KIGA";
"93";"580";"Kindertagesstätten Damme Sprache u. Integration";"580 Kindertagesstätten Damme Sprache u. Integration";"110 GB KIGA";
"94";"581";"Kindertagesstätten RQu Richtlinie Qualität";"581 Kindertagesstätten RQu Richtlinie Qualität";"110 GB KIGA";
"95";"582";"Kindertagesstätten Sprachförd. Elementarbereich";"582 Kindertagesstätten Sprachförd. Elementarbereich";"110 GB KIGA";
"96";"583";"Gelingende Kommunikation";"583 Gelingende Kommunikation";"110 GB KIGA";
"97";"585";"Projekt Lernort Praxis";"585 Projekt Lernort Praxis";"110 GB KIGA";
"98";"598";"Kindertagesstätten Nordkreis Vertretungskräfte";"598 Kindertagesstätten Nordkreis Vertretungskräfte";"110 GB KIGA";
"99";"599";"Kindertagesstätten Südkreis Vertretungskräfte";"599 Kindertagesstätten Südkreis Vertretungskräfte";"110 GB KIGA";
"100";"600";"Erich Kästner-Schule Vechta";"600 Erich Kästner-Schule Vechta";"115 GB SCHULE";
"101";"610";"Erich Kästner-Schule Damme";"610 Erich Kästner-Schule Damme";"115 GB SCHULE";
"102";"620";"Erich Kästner-Schule Goldenstedt";"620 Erich Kästner-Schule Goldenstedt";"115 GB SCHULE";
"103";"621";"Erich Kästner-Schule Visbek Kooperation Benediktschule";"621 Erich Kästner-Schule Visbek Kooperation Benediktschule";"115 GB SCHULE";
"104";"710";"E-BBB Vechta";"710 E-BBB Vechta";"120 GB WERKSTATT";
"105";"711";"E-BBB Steinfeld";"711 E-BBB Steinfeld";"120 GB WERKSTATT";
"106";"712";"E-BBB Brägeler Forst";"712 E-BBB Brägeler Forst";"120 GB WERKSTATT";
"107";"730";"WfbM VEC Landwehrstraße";"730 WfbM VEC Landwehrstraße";"120 GB WERKSTATT";
"108";"731";"WfbM LOH Brägeler Ring";"731 WfbM LOH Brägeler Ring";"120 GB WERKSTATT";
"109";"732";"WfbM VEC Manufaktur Große Str.";"732 WfbM VEC Manufaktur Große Str.";"120 GB WERKSTATT";
"110";"733";"WfbM LOH Brägeler Forst";"733 WfbM LOH Brägeler Forst";"120 GB WERKSTATT";
"111";"734";"WfbM STF Handorfer Str.";"734 WfbM STF Handorfer Str.";"120 GB WERKSTATT";
"112";"735";"Büro für leichte Sprache";"735 Büro für leichte Sprache";"120 GB WERKSTATT";
"113";"736";"WfbM VEC Am Sternbusch";"736 WfbM VEC Am Sternbusch";"120 GB WERKSTATT";
"114";"740";"WfbM VEC Tagesförderstätte";"740 WfbM VEC Tagesförderstätte";"120 GB WERKSTATT";
"115";"745";"Budget für Arbeit";"745 Budget für Arbeit";"120 GB WERKSTATT";
"116";"750";"Niedrigschwelliges Beschäftigungsangebot";"750 Niedrigschwelliges Beschäftigungsangebot Werk A";"120 GB WERKSTATT";
"117";"829";"Prod. VEC Mobilitätszentrum Bahnhof";"829 Prod. VEC Mobilitätszentrum Bahnhof";"120 GB WERKSTATT";
"118";"830";"Prod.VEC Allgemein";"830 Prod.VEC Allgemein";"120 GB WERKSTATT";
"119";"83001";"Prod. Außenarbeitsp. VEC allg.";"83001 Prod. Außenarbeitsp. VEC allg.";"120 GB WERKSTATT";
"120";"8301";"Prod.VEC Manufaktur Laden";"8301 Prod.VEC Manufaktur Laden";"120 GB WERKSTATT";
"121";"8302";"Prod.VEC Manufaktur Cafe";"8302 Prod.VEC Manufaktur Cafe";"120 GB WERKSTATT";
"122";"8303";"Prod.VEC Campus Cafe-Bistro";"8303 Prod.VEC Campus Cafe-Bistro";"120 GB WERKSTATT";
"123";"831";"Prod.VEC I.-Montage";"831 Prod.VEC I.-Montage";"120 GB WERKSTATT";
"124";"8311";"Prod.VEC Floristik";"8311 Prod.VEC Floristik";"120 GB WERKSTATT";
"125";"832";"Prod.LOH BR Metall";"832 Prod.LOH BR Metall";"120 GB WERKSTATT";
"126";"833";"WfbM Prod. Landw. Str. 5";"833 WfbM Prod. Landw. Str. 5";"120 GB WERKSTATT";
"127";"8331";"Prod.VEC Manufaktur Bilderrah.";"8331 Prod.VEC Manufaktur Bilderrah.";"120 GB WERKSTATT";
"128";"8332";"WfbM Prod.Druck. Pap.";"8332 WfbM Prod.Druck. Pap.";"120 GB WERKSTATT";
"129";"834";"Prod.VEC Holz";"834 Prod.VEC Holz";"120 GB WERKSTATT";
"130";"835";"Prod.VEC KFZ";"835 Prod.VEC KFZ";"120 GB WERKSTATT";
"131";"836";"Prod.VEC Wäscherei";"836 Prod.VEC Wäscherei";"120 GB WERKSTATT";
"132";"837";"Prod.VEC GaLa-Pflege";"837 Prod.VEC GaLa-Pflege";"120 GB WERKSTATT";
"133";"83701";"Prod.VEC Blumenwiese";"83701 Prod.VEC Blumenwiese";"120 GB WERKSTATT";
"134";"838";"Prod.VEC Keramik";"838 Prod.VEC Keramik";"120 GB WERKSTATT";
"135";"839";"Prod.VEC Buchbinderei";"839 Prod.VEC Buchbinderei";"120 GB WERKSTATT";
"136";"840";"Prod.LOH BR Allgemein";"840 Prod.LOH BR Allgemein";"120 GB WERKSTATT";
"137";"84001";"Prod.Außenarbeitsp. BR. allg.";"84001 Prod.Außenarbeitsp. BR. allg.";"120 GB WERKSTATT";
"138";"84002";"Prod. Außenarbeitsplatz Bundeswehr Diepholz";"84002 Prod. Außenarbeitsplatz Bundeswehr Diepholz";"120 GB WERKSTATT";
"139";"841";"Prod.LOH BR I.-Montage";"841 Prod.LOH BR I.-Montage";"120 GB WERKSTATT";
"140";"842";"Prod.LOH BF 12 Kerzen";"842 Prod.LOH BF 12 Kerzen";"120 GB WERKSTATT";
"141";"843";"Prod.Außenarbeitsplatz M.O.L.";"843 Prod.Außenarbeitsplatz M.O.L.";"120 GB WERKSTATT";
"142";"844";"Prod.VEC Manufaktur";"844 Prod.VEC Manufaktur";"120 GB WERKSTATT";
"143";"8442";"Prod.LOH BF 12 Druck/Mailing";"8442 Prod.LOH BF 12 Druck/Mailing";"120 GB WERKSTATT";
"144";"845";"Prod.LOH BR Elektromontage";"845 Prod.LOH BR Elektromontage";"120 GB WERKSTATT";
"145";"846";"Prod.VEC Büro für leichte Sprache";"846 Prod.VEC Büro für leichte Sprache";"120 GB WERKSTATT";
"146";"850";"Prod.VEC Cafeteria";"850 Prod.VEC Cafeteria";"120 GB WERKSTATT";
"147";"851";"Prod.VEC Dienstleistungsgr.";"851 Prod.VEC Dienstleistungsgr.";"120 GB WERKSTATT";
"148";"85101";"Prod.VEC Kiosk";"85101 Prod.VEC Kiosk";"120 GB WERKSTATT";
"149";"85102";"Prod.LOH BR Kiosk";"85102 Prod.LOH BR Kiosk";"120 GB WERKSTATT";
"150";"85103";"Prod.LOH BF 12 Kiosk";"85103 Prod.LOH BF 12 Kiosk";"120 GB WERKSTATT";
"151";"85104";"Prod.STF Kiosk";"85104 Prod.STF Kiosk";"120 GB WERKSTATT";
"152";"860";"Prod.LOH BF Allgemein";"860 Prod.LOH BF Allgemein";"120 GB WERKSTATT";
"153";"86001";"Prod.Außenarbeitsp. BF. allg.";"86001 Prod.Außenarbeitsp. BF. allg.";"120 GB WERKSTATT";
"154";"861";"Prod.LOH BF 12 I.-Montage";"861 Prod.LOH BF 12 I.-Montage";"120 GB WERKSTATT";
"155";"862";"Prod.LOH BF 12 Elektromontage";"862 Prod.LOH BF 12 Elektromontage";"120 GB WERKSTATT";
"156";"863";"Prod.LOH BF 7 Kistenwaschanl.";"863 Prod.LOH BF 7 Kistenwaschanl.";"120 GB WERKSTATT";
"157";"864";"Prod.LOH BF 7 I.-Montage";"864 Prod.LOH BF 7 I.-Montage";"120 GB WERKSTATT";
"158";"870";"Prod.STF Allgemein";"870 Prod.STF Allgemein";"120 GB WERKSTATT";
"159";"87001";"Prod.Außenarbeitsp. STF. allg.";"87001 Prod.Außenarbeitsp. STF. allg.";"120 GB WERKSTATT";
"160";"871";"Prod.STF I.-Montage";"871 Prod.STF I.-Montage";"120 GB WERKSTATT";
"161";"872";"Prod.STF Bäckerei";"872 Prod.STF Bäckerei";"120 GB WERKSTATT";
"162";"873";"Prod.STF GaLa-Pflege";"873 Prod.STF GaLa-Pflege";"120 GB WERKSTATT";
"163";"874";"Prod.STF Verpackung";"874 Prod.STF Verpackung";"120 GB WERKSTATT";
"164";"875";"Prod.STF Heißmangel/Wäscherei";"875 Prod.STF Heißmangel/Wäscherei";"120 GB WERKSTATT";
"165";"901";"Wohnungen Visbek";"901 Wohnungen Visbek";"145 Verein";
"166";"902";"Campus inklusiv(e)-Teilhabemanagement";"902 Campus inklusiv(e)-Teilhabemanagement";"145 Verein";
"167";"903";"Vermietung Gr. Str. 43";"903 Vermietung Gr. Str. 43";"145 Verein";
"168";"904";"Telbraker Esch VEC";"904 Telbraker Esch VEC";"145 Verein";
"169";"905";"Haus Marschweg VEC";"905 Haus Marschweg VEC";"145 Verein";
"170";"906";"Telbraker Esch-Teilhabemanagement";"906 Telbraker Esch-Teilhabemanagement";"145 Verein";
"171";"907";"Vermietung Gr. Str. 41";"907 Vermietung Gr. Str. 41";"145 Verein";
"172";"908";"Gedenkstätte für die Menschenwürde";"908 Gedenkstätte für die Menschenwürde";"145 Verein";
"173";"999";"Verein";"999 Verein";"145 Verein";
